Data,Produto,Categoria,Cliente,Quantidade Vendida,Estoque Atual,Preço Unitário,Localização
2025-08-14,Uniforme Escolar,Escolar,Indústria X,39,26,89.9,Itabuna
2025-08-15,Camisa Corporativa,Corporativo,Hospital Saúde+,29,1,99.9,Salvador
2025-08-16,Jaleco Hospitalar,Hospitalar,Hospital Vida,8,76,129.9,Jequié
2025-08-17,Uniforme Escolar,Escolar,Indústria Y,5,21,89.9,Lauro de Freitas
2025-08-18,Uniforme Escolar,Escolar,Colégio Alfa,49,240,89.9,Lauro de Freitas
2025-08-19,Jaleco Hospitalar,Hospitalar,Empresa Beta,21,55,129.9,Vitória da Conquista
2025-08-20,Camisa Corporativa,Corporativo,Hospital Saúde+,23,463,99.9,Salvador
2025-08-21,Camisa Corporativa,Corporativo,Hospital Vida,36,427,99.9,Camaçari
2025-08-22,Jaleco Hospitalar,Hospitalar,Empresa Beta,9,46,129.9,Salvador
2025-08-23,Jaleco Hospitalar,Hospitalar,Indústria X,20,26,129.9,Ilhéus
2025-08-24,Macacão Industrial,Industrial,Colégio Alfa,45,355,149.9,Feira de Santana
2025-08-25,Camisa Corporativa,Corporativo,Indústria X,8,419,99.9,Feira de Santana
2025-08-26,Macacão Industrial,Industrial,Empresa Beta,41,314,149.9,Ilhéus
2025-08-27,Uniforme Escolar,Escolar,Indústria X,21,219,89.9,Itabuna
2025-08-28,Camisa Corporativa,Corporativo,Empresa Gama,49,370,99.9,Feira de Santana
2025-08-29,Uniforme Escolar,Escolar,Colégio Delta,45,174,89.9,Feira de Santana
2025-08-30,Camisa Corporativa,Corporativo,Indústria Y,37,333,99.9,Feira de Santana
2025-08-31,Macacão Industrial,Industrial,Indústria X,24,290,149.9,Feira de Santana
2025-09-01,Camisa Corporativa,Corporativo,Empresa Gama,22,311,99.9,Vitória da Conquista
2025-09-02,Camisa Corporativa,Corporativo,Empresa Gama,43,268,99.9,Salvador
2025-09-03,Camisa Corporativa,Corporativo,Hospital Vida,19,249,99.9,Salvador
2025-09-04,Jaleco Hospitalar,Hospitalar,Empresa Beta,42,380,129.9,Ilhéus
2025-09-05,Camisa Corporativa,Corporativo,Empresa Beta,39,210,99.9,Vitória da Conquista
2025-09-06,Camisa Corporativa,Corporativo,Indústria X,14,196,99.9,Camaçari
2025-09-07,Camisa Corporativa,Corporativo,Colégio Delta,24,172,99.9,Salvador
2025-09-08,Camisa Corporativa,Corporativo,Colégio Beta,8,164,99.9,Lauro de Freitas
2025-09-09,Uniforme Escolar,Escolar,Empresa Beta,23,151,89.9,Jequié
2025-09-10,Uniforme Escolar,Escolar,Colégio Beta,17,134,89.9,Vitória da Conquista
2025-09-11,Macacão Industrial,Industrial,Colégio Beta,20,270,149.9,Jequié
2025-09-12,Jaleco Hospitalar,Hospitalar,Empresa Beta,23,357,129.9,Feira de Santana
2025-09-13,Camisa Corporativa,Corporativo,Colégio Alfa,13,151,99.9,Feira de Santana
2025-09-14,Camisa Corporativa,Corporativo,Hospital Saúde+,20,131,99.9,Itabuna
2025-09-15,Macacão Industrial,Industrial,Indústria Y,46,224,149.9,Salvador
2025-09-16,Jaleco Hospitalar,Hospitalar,Indústria Y,18,339,129.9,Itabuna
2025-09-17,Uniforme Escolar,Escolar,Indústria Y,44,90,89.9,Itabuna
2025-09-18,Camisa Corporativa,Corporativo,Colégio Beta,5,126,99.9,Ilhéus
2025-09-19,Uniforme Escolar,Escolar,Empresa Beta,22,68,89.9,Camaçari
2025-09-20,Jaleco Hospitalar,Hospitalar,Empresa Beta,23,316,129.9,Jequié
2025-09-21,Macacão Industrial,Industrial,Hospital Saúde+,31,193,149.9,Feira de Santana
2025-09-22,Jaleco Hospitalar,Hospitalar,Colégio Beta,33,283,129.9,Salvador
2025-09-23,Uniforme Escolar,Escolar,Colégio Alfa,23,45,89.9,Itabuna
2025-09-24,Uniforme Escolar,Escolar,Empresa Beta,30,15,89.9,Jequié
2025-09-25,Macacão Industrial,Industrial,Hospital Saúde+,5,188,149.9,Feira de Santana
2025-09-26,Uniforme Escolar,Escolar,Colégio Beta,24,334,89.9,Vitória da Conquista
2025-09-27,Jaleco Hospitalar,Hospitalar,Colégio Alfa,12,271,129.9,Vitória da Conquista
2025-09-28,Camisa Corporativa,Corporativo,Empresa Gama,19,107,99.9,Camaçari
2025-09-29,Uniforme Escolar,Escolar,Colégio Beta,10,324,89.9,Lauro de Freitas
2025-09-30,Jaleco Hospitalar,Hospitalar,Hospital Vida,27,244,129.9,Vitória da Conquista
2025-10-01,Macacão Industrial,Industrial,Indústria Y,9,179,149.9,Itabuna
2025-10-02,Camisa Corporativa,Corporativo,Hospital Vida,42,65,99.9,Jequié
2025-10-03,Camisa Corporativa,Corporativo,Indústria Y,36,29,99.9,Vitória da Conquista
2025-10-04,Uniforme Escolar,Escolar,Hospital Saúde+,48,276,89.9,Camaçari
2025-10-05,Jaleco Hospitalar,Hospitalar,Hospital Saúde+,7,237,129.9,Vitória da Conquista
2025-10-06,Jaleco Hospitalar,Hospitalar,Indústria Y,21,216,129.9,Salvador
2025-10-07,Jaleco Hospitalar,Hospitalar,Colégio Delta,9,207,129.9,Lauro de Freitas
2025-10-08,Jaleco Hospitalar,Hospitalar,Empresa Gama,39,168,129.9,Lauro de Freitas
2025-10-09,Macacão Industrial,Industrial,Indústria Y,8,171,149.9,Itabuna
2025-10-10,Macacão Industrial,Industrial,Empresa Beta,41,130,149.9,Jequié
2025-10-11,Macacão Industrial,Industrial,Empresa Beta,32,98,149.9,Jequié
2025-10-12,Uniforme Escolar,Escolar,Colégio Beta,13,263,89.9,Camaçari
2025-10-13,Uniforme Escolar,Escolar,Colégio Delta,47,216,89.9,Lauro de Freitas
2025-10-14,Jaleco Hospitalar,Hospitalar,Indústria X,18,150,129.9,Feira de Santana
2025-10-15,Uniforme Escolar,Escolar,Colégio Alfa,26,190,89.9,Salvador
2025-10-16,Macacão Industrial,Industrial,Empresa Gama,33,65,149.9,Ilhéus
2025-10-17,Macacão Industrial,Industrial,Empresa Beta,20,45,149.9,Itabuna
2025-10-18,Camisa Corporativa,Corporativo,Indústria Y,37,264,99.9,Vitória da Conquista
2025-10-19,Jaleco Hospitalar,Hospitalar,Hospital Saúde+,19,131,129.9,Salvador
2025-10-20,Macacão Industrial,Industrial,Hospital Vida,18,27,149.9,Ilhéus
2025-10-21,Camisa Corporativa,Corporativo,Empresa Gama,43,221,99.9,Camaçari
2025-10-22,Macacão Industrial,Industrial,Colégio Delta,37,218,149.9,Salvador
2025-10-23,Jaleco Hospitalar,Hospitalar,Indústria X,48,83,129.9,Vitória da Conquista
2025-10-24,Uniforme Escolar,Escolar,Colégio Delta,43,147,89.9,Camaçari
2025-10-25,Macacão Industrial,Industrial,Colégio Alfa,11,207,149.9,Camaçari
2025-10-26,Uniforme Escolar,Escolar,Colégio Beta,14,133,89.9,Salvador
2025-10-27,Jaleco Hospitalar,Hospitalar,Empresa Gama,29,54,129.9,Salvador
2025-10-28,Jaleco Hospitalar,Hospitalar,Hospital Vida,17,37,129.9,Camaçari
